Date_Key,Date,Year,Quarter,Month,Month_Name,Day,Weekday
20101201,2010-12-01,2010,Q4,12,December,1,Wednesday
20101202,2010-12-02,2010,Q4,12,December,2,Thursday
20101203,2010-12-03,2010,Q4,12,December,3,Friday
20101204,2010-12-04,2010,Q4,12,December,4,Saturday
20101205,2010-12-05,2010,Q4,12,December,5,Sunday
20101206,2010-12-06,2010,Q4,12,December,6,Monday
20101207,2010-12-07,2010,Q4,12,December,7,Tuesday
20101208,2010-12-08,2010,Q4,12,December,8,Wednesday
20101209,2010-12-09,2010,Q4,12,December,9,Thursday
20101210,2010-12-10,2010,Q4,12,December,10,Friday
20101211,2010-12-11,2010,Q4,12,December,11,Saturday
20101212,2010-12-12,2010,Q4,12,December,12,Sunday
20101213,2010-12-13,2010,Q4,12,December,13,Monday
20101214,2010-12-14,2010,Q4,12,December,14,Tuesday
20101215,2010-12-15,2010,Q4,12,December,15,Wednesday
20101216,2010-12-16,2010,Q4,12,December,16,Thursday
20101217,2010-12-17,2010,Q4,12,December,17,Friday
20101218,2010-12-18,2010,Q4,12,December,18,Saturday
20101219,2010-12-19,2010,Q4,12,December,19,Sunday
20101220,2010-12-20,2010,Q4,12,December,20,Monday
20101221,2010-12-21,2010,Q4,12,December,21,Tuesday
20101222,2010-12-22,2010,Q4,12,December,22,Wednesday
20101223,2010-12-23,2010,Q4,12,December,23,Thursday
20101224,2010-12-24,2010,Q4,12,December,24,Friday
20101225,2010-12-25,2010,Q4,12,December,25,Saturday
20101226,2010-12-26,2010,Q4,12,December,26,Sunday
20101227,2010-12-27,2010,Q4,12,December,27,Monday
20101228,2010-12-28,2010,Q4,12,December,28,Tuesday
20101229,2010-12-29,2010,Q4,12,December,29,Wednesday
20101230,2010-12-30,2010,Q4,12,December,30,Thursday
20101231,2010-12-31,2010,Q4,12,December,31,Friday
20110101,2011-01-01,2011,Q1,1,January,1,Saturday
20110102,2011-01-02,2011,Q1,1,January,2,Sunday
20110103,2011-01-03,2011,Q1,1,January,3,Monday
20110104,2011-01-04,2011,Q1,1,January,4,Tuesday
20110105,2011-01-05,2011,Q1,1,January,5,Wednesday
20110106,2011-01-06,2011,Q1,1,January,6,Thursday
20110107,2011-01-07,2011,Q1,1,January,7,Friday
20110108,2011-01-08,2011,Q1,1,January,8,Saturday
20110109,2011-01-09,2011,Q1,1,January,9,Sunday
20110110,2011-01-10,2011,Q1,1,January,10,Monday
20110111,2011-01-11,2011,Q1,1,January,11,Tuesday
20110112,2011-01-12,2011,Q1,1,January,12,Wednesday
20110113,2011-01-13,2011,Q1,1,January,13,Thursday
20110114,2011-01-14,2011,Q1,1,January,14,Friday
20110115,2011-01-15,2011,Q1,1,January,15,Saturday
20110116,2011-01-16,2011,Q1,1,January,16,Sunday
20110117,2011-01-17,2011,Q1,1,January,17,Monday
20110118,2011-01-18,2011,Q1,1,January,18,Tuesday
20110119,2011-01-19,2011,Q1,1,January,19,Wednesday
20110120,2011-01-20,2011,Q1,1,January,20,Thursday
20110121,2011-01-21,2011,Q1,1,January,21,Friday
20110122,2011-01-22,2011,Q1,1,January,22,Saturday
20110123,2011-01-23,2011,Q1,1,January,23,Sunday
20110124,2011-01-24,2011,Q1,1,January,24,Monday
20110125,2011-01-25,2011,Q1,1,January,25,Tuesday
20110126,2011-01-26,2011,Q1,1,January,26,Wednesday
20110127,2011-01-27,2011,Q1,1,January,27,Thursday
20110128,2011-01-28,2011,Q1,1,January,28,Friday
20110129,2011-01-29,2011,Q1,1,January,29,Saturday
20110130,2011-01-30,2011,Q1,1,January,30,Sunday
20110131,2011-01-31,2011,Q1,1,January,31,Monday
20110201,2011-02-01,2011,Q1,2,February,1,Tuesday
20110202,2011-02-02,2011,Q1,2,February,2,Wednesday
20110203,2011-02-03,2011,Q1,2,February,3,Thursday
20110204,2011-02-04,2011,Q1,2,February,4,Friday
20110205,2011-02-05,2011,Q1,2,February,5,Saturday
20110206,2011-02-06,2011,Q1,2,February,6,Sunday
20110207,2011-02-07,2011,Q1,2,February,7,Monday
20110208,2011-02-08,2011,Q1,2,February,8,Tuesday
20110209,2011-02-09,2011,Q1,2,February,9,Wednesday
20110210,2011-02-10,2011,Q1,2,February,10,Thursday
20110211,2011-02-11,2011,Q1,2,February,11,Friday
20110212,2011-02-12,2011,Q1,2,February,12,Saturday
20110213,2011-02-13,2011,Q1,2,February,13,Sunday
20110214,2011-02-14,2011,Q1,2,February,14,Monday
20110215,2011-02-15,2011,Q1,2,February,15,Tuesday
20110216,2011-02-16,2011,Q1,2,February,16,Wednesday
20110217,2011-02-17,2011,Q1,2,February,17,Thursday
20110218,2011-02-18,2011,Q1,2,February,18,Friday
20110219,2011-02-19,2011,Q1,2,February,19,Saturday
20110220,2011-02-20,2011,Q1,2,February,20,Sunday
20110221,2011-02-21,2011,Q1,2,February,21,Monday
20110222,2011-02-22,2011,Q1,2,February,22,Tuesday
20110223,2011-02-23,2011,Q1,2,February,23,Wednesday
20110224,2011-02-24,2011,Q1,2,February,24,Thursday
20110225,2011-02-25,2011,Q1,2,February,25,Friday
20110226,2011-02-26,2011,Q1,2,February,26,Saturday
20110227,2011-02-27,2011,Q1,2,February,27,Sunday
20110228,2011-02-28,2011,Q1,2,February,28,Monday
20110301,2011-03-01,2011,Q1,3,March,1,Tuesday
20110302,2011-03-02,2011,Q1,3,March,2,Wednesday
20110303,2011-03-03,2011,Q1,3,March,3,Thursday
20110304,2011-03-04,2011,Q1,3,March,4,Friday
20110305,2011-03-05,2011,Q1,3,March,5,Saturday
20110306,2011-03-06,2011,Q1,3,March,6,Sunday
20110307,2011-03-07,2011,Q1,3,March,7,Monday
20110308,2011-03-08,2011,Q1,3,March,8,Tuesday
20110309,2011-03-09,2011,Q1,3,March,9,Wednesday
20110310,2011-03-10,2011,Q1,3,March,10,Thursday
20110311,2011-03-11,2011,Q1,3,March,11,Friday
20110312,2011-03-12,2011,Q1,3,March,12,Saturday
20110313,2011-03-13,2011,Q1,3,March,13,Sunday
20110314,2011-03-14,2011,Q1,3,March,14,Monday
20110315,2011-03-15,2011,Q1,3,March,15,Tuesday
20110316,2011-03-16,2011,Q1,3,March,16,Wednesday
20110317,2011-03-17,2011,Q1,3,March,17,Thursday
20110318,2011-03-18,2011,Q1,3,March,18,Friday
20110319,2011-03-19,2011,Q1,3,March,19,Saturday
20110320,2011-03-20,2011,Q1,3,March,20,Sunday
20110321,2011-03-21,2011,Q1,3,March,21,Monday
20110322,2011-03-22,2011,Q1,3,March,22,Tuesday
20110323,2011-03-23,2011,Q1,3,March,23,Wednesday
20110324,2011-03-24,2011,Q1,3,March,24,Thursday
20110325,2011-03-25,2011,Q1,3,March,25,Friday
20110326,2011-03-26,2011,Q1,3,March,26,Saturday
20110327,2011-03-27,2011,Q1,3,March,27,Sunday
20110328,2011-03-28,2011,Q1,3,March,28,Monday
20110329,2011-03-29,2011,Q1,3,March,29,Tuesday
20110330,2011-03-30,2011,Q1,3,March,30,Wednesday
20110331,2011-03-31,2011,Q1,3,March,31,Thursday
20110401,2011-04-01,2011,Q2,4,April,1,Friday
20110402,2011-04-02,2011,Q2,4,April,2,Saturday
20110403,2011-04-03,2011,Q2,4,April,3,Sunday
20110404,2011-04-04,2011,Q2,4,April,4,Monday
20110405,2011-04-05,2011,Q2,4,April,5,Tuesday
20110406,2011-04-06,2011,Q2,4,April,6,Wednesday
20110407,2011-04-07,2011,Q2,4,April,7,Thursday
20110408,2011-04-08,2011,Q2,4,April,8,Friday
20110409,2011-04-09,2011,Q2,4,April,9,Saturday
20110410,2011-04-10,2011,Q2,4,April,10,Sunday
20110411,2011-04-11,2011,Q2,4,April,11,Monday
20110412,2011-04-12,2011,Q2,4,April,12,Tuesday
20110413,2011-04-13,2011,Q2,4,April,13,Wednesday
20110414,2011-04-14,2011,Q2,4,April,14,Thursday
20110415,2011-04-15,2011,Q2,4,April,15,Friday
20110416,2011-04-16,2011,Q2,4,April,16,Saturday
20110417,2011-04-17,2011,Q2,4,April,17,Sunday
20110418,2011-04-18,2011,Q2,4,April,18,Monday
20110419,2011-04-19,2011,Q2,4,April,19,Tuesday
20110420,2011-04-20,2011,Q2,4,April,20,Wednesday
20110421,2011-04-21,2011,Q2,4,April,21,Thursday
20110422,2011-04-22,2011,Q2,4,April,22,Friday
20110423,2011-04-23,2011,Q2,4,April,23,Saturday
20110424,2011-04-24,2011,Q2,4,April,24,Sunday
20110425,2011-04-25,2011,Q2,4,April,25,Monday
20110426,2011-04-26,2011,Q2,4,April,26,Tuesday
20110427,2011-04-27,2011,Q2,4,April,27,Wednesday
20110428,2011-04-28,2011,Q2,4,April,28,Thursday
20110429,2011-04-29,2011,Q2,4,April,29,Friday
20110430,2011-04-30,2011,Q2,4,April,30,Saturday
20110501,2011-05-01,2011,Q2,5,May,1,Sunday
20110502,2011-05-02,2011,Q2,5,May,2,Monday
20110503,2011-05-03,2011,Q2,5,May,3,Tuesday
20110504,2011-05-04,2011,Q2,5,May,4,Wednesday
20110505,2011-05-05,2011,Q2,5,May,5,Thursday
20110506,2011-05-06,2011,Q2,5,May,6,Friday
20110507,2011-05-07,2011,Q2,5,May,7,Saturday
20110508,2011-05-08,2011,Q2,5,May,8,Sunday
20110509,2011-05-09,2011,Q2,5,May,9,Monday
20110510,2011-05-10,2011,Q2,5,May,10,Tuesday
20110511,2011-05-11,2011,Q2,5,May,11,Wednesday
20110512,2011-05-12,2011,Q2,5,May,12,Thursday
20110513,2011-05-13,2011,Q2,5,May,13,Friday
20110514,2011-05-14,2011,Q2,5,May,14,Saturday
