Customer_Key,Customer_ID,Country,Region
1,12346,United Kingdom,Europe
2,12347,Iceland,Other
3,12348,Finland,Europe
4,12349,Italy,Europe
5,12350,Norway,Europe
6,12352,Norway,Europe
7,12353,Bahrain,Other
8,12354,Spain,Europe
9,12355,Bahrain,Other
10,12356,Portugal,Europe
11,12357,Switzerland,Europe
12,12358,Austria,Europe
13,12359,Cyprus,Other
14,12360,Austria,Europe
15,12361,Belgium,Europe
16,12362,Belgium,Europe
17,12364,Belgium,Europe
18,12365,Cyprus,Other
19,12367,Denmark,Europe
20,12370,Cyprus,Other
21,12371,Switzerland,Europe
22,12372,Denmark,Europe
23,12374,Austria,Europe
24,12375,Finland,Europe
25,12377,Switzerland,Europe
26,12378,Switzerland,Europe
27,12379,Belgium,Europe
28,12380,Belgium,Europe
29,12381,Norway,Europe
30,12383,Belgium,Europe
31,12384,Switzerland,Europe
32,12386,Australia,Oceania
33,12388,Australia,Oceania
34,12390,Belgium,Europe
35,12391,Cyprus,Other
36,12393,Australia,Oceania
37,12394,Belgium,Europe
38,12395,Belgium,Europe
39,12397,Belgium,Europe
40,12398,Switzerland,Europe
41,12399,Belgium,Europe
42,12402,Belgium,Europe
43,12403,Denmark,Europe
44,12405,Finland,Europe
45,12406,Denmark,Europe
46,12407,Belgium,Europe
47,12408,Belgium,Europe
48,12409,Switzerland,Europe
49,12410,Switzerland,Europe
50,12412,Denmark,Europe
51,12413,France,Europe
52,12414,Austria,Europe
53,12415,Australia,Oceania
54,12417,Belgium,Europe
55,12418,Switzerland,Europe
56,12420,Cyprus,Other
57,12421,Spain,Europe
58,12422,Australia,Oceania
59,12423,Belgium,Europe
60,12424,Australia,Oceania
61,12426,Germany,Europe
62,12427,Germany,Europe
63,12428,Finland,Europe
64,12429,Denmark,Europe
65,12430,Norway,Europe
66,12431,Belgium,Europe
67,12432,Norway,Europe
68,12433,Norway,Europe
69,12434,Australia,Oceania
70,12435,Denmark,Europe
71,12437,France,Europe
72,12438,Norway,Europe
73,12441,France,Europe
74,12444,Norway,Europe
75,12445,Spain,Europe
76,12446,RSA,Other
77,12447,Belgium,Europe
78,12448,Spain,Europe
79,12449,Belgium,Europe
80,12450,Spain,Europe
81,12451,Switzerland,Europe
82,12452,Switzerland,Europe
83,12455,Spain,Europe
84,12456,Switzerland,Europe
85,12457,Switzerland,Europe
86,12458,Switzerland,Europe
87,12461,Switzerland,Europe
88,12462,Spain,Europe
89,12463,Belgium,Europe
90,12464,Belgium,Europe
91,12465,Belgium,Europe
92,12468,Germany,Europe
93,12471,Germany,Europe
94,12472,Germany,Europe
95,12473,Germany,Europe
96,12474,Germany,Europe
97,12475,Germany,Europe
98,12476,Germany,Europe
99,12477,Germany,Europe
100,12478,Greece,Other
101,12479,Germany,Europe
102,12480,Germany,Europe
103,12481,Germany,Europe
104,12483,Sweden,Europe
105,12484,Spain,Europe
106,12488,France,Europe
107,12489,France,Europe
108,12490,France,Europe
109,12491,France,Europe
110,12492,Germany,Europe
111,12493,France,Europe
112,12494,France,Europe
113,12498,Germany,Europe
114,12500,Germany,Europe
115,12501,Germany,Europe
116,12502,Spain,Europe
117,12506,France,Europe
118,12507,Spain,Europe
119,12508,France,Europe
120,12510,Spain,Europe
121,12512,Israel,Asia
122,12513,France,Europe
123,12514,Italy,Europe
124,12515,Italy,Europe
125,12516,Germany,Europe
126,12517,Germany,Europe
127,12518,Germany,Europe
128,12519,Germany,Europe
129,12520,Germany,Europe
130,12521,Germany,Europe
131,12522,Germany,Europe
132,12523,France,Europe
133,12524,Germany,Europe
134,12526,Germany,Europe
135,12527,Germany,Europe
136,12528,Germany,Europe
137,12530,Germany,Europe
138,12531,Germany,Europe
139,12532,France,Europe
140,12534,Germany,Europe
141,12535,France,Europe
142,12536,France,Europe
143,12538,Spain,Europe
144,12539,Spain,Europe
145,12540,Spain,Europe
146,12541,Spain,Europe
147,12544,Spain,Europe
148,12545,Spain,Europe
149,12546,Spain,Europe
150,12547,Spain,Europe
151,12550,Spain,Europe
152,12551,Spain,Europe
153,12553,France,Europe
154,12556,Spain,Europe
155,12557,Spain,Europe
156,12558,USA,North America
157,12559,Germany,Europe
158,12560,Germany,Europe
159,12561,Germany,Europe
160,12562,France,Europe
161,12564,France,Europe
