Product_Key,Product_ID,Product_Description,Category
1,10002,INFLATABLE POLITICAL GLOBE,Otros
2,10080,GROOVY CACTUS INFLATABLE,Otros
3,10120,DOGGY RUBBER,Otros
4,10125,MINI FUNKY DESIGN TAPES,Otros
5,10133,COLOURING PENCILS BROWN TUBE,Otros
6,10135,COLOURING PENCILS BROWN TUBE,Otros
7,11001,ASSTD DESIGN RACING CAR PEN,Otros
8,15030,FAN BLACK FRAME,Otros
9,15034,PAPER POCKET TRAVELING FAN,Papelería y embalaje
10,15036,ASSORTED COLOURS SILK FAN,Otros
11,15039,SANDALWOOD FAN,Otros
12,15044A,PINK PAPER PARASOL,Papelería y embalaje
13,15044B,BLUE PAPER PARASOL,Papelería y embalaje
14,15044C,PURPLE PAPER PARASOL,Papelería y embalaje
15,15044D,RED PAPER PARASOL,Papelería y embalaje
16,15056BL,EDWARDIAN PARASOL BLACK,Otros
17,15056N,EDWARDIAN PARASOL NATURAL,Otros
18,15056P,EDWARDIAN PARASOL PINK,Otros
19,15058A,BLUE POLKADOT GARDEN PARASOL,Otros
20,15058B,PINK POLKADOT GARDEN PARASOL,Otros
21,15058C,ICE CREAM DESIGN GARDEN PARASOL,Otros
22,15060B,FAIRY CAKE DESIGN UMBRELLA,Otros
23,16008,SMALL FOLDING SCISSOR(POINTED EDGE),Otros
24,16011,ANIMAL STICKERS,Otros
25,16012,FOOD/DRINK SPONGE STICKERS,Otros
26,16014,SMALL CHINESE STYLE SCISSOR,Otros
27,16015,MEDIUM CHINESE STYLE SCISSOR,Otros
28,16016,LARGE CHINESE STYLE SCISSOR,Otros
29,16045,POPART WOODEN PENCILS ASST,Otros
30,16046,TEATIME PEN CASE & PENS,Otros
31,16048,TEATIME ROUND PENCIL SHARPENER,Otros
32,16052,TEATIME PUSH DOWN RUBBER,Otros
33,16054,POPART RECT PENCIL SHARPENER ASST,Otros
34,16151A,FLOWERS HANDBAG blue and orange,Papelería y embalaje
35,16156L,WRAP CAROUSEL,Otros
36,16156S,WRAP PINK FAIRY CAKES,Otros
37,16161G,WRAP BAD HAIR DAY,Otros
38,16161P,WRAP ENGLISH ROSE,Otros
39,16161U,WRAP SUKI AND FRIENDS,Otros
40,16168M,FUNKY MONKEY GIFT BAG MEDIUM,Papelería y embalaje
41,16169E,WRAP 50'S  CHRISTMAS,Navidad y temporada
42,16169M,WRAP DAISY CARPET,Otros
43,16207A,PINK STRAWBERRY HANDBAG,Papelería y embalaje
44,16216,LETTER SHAPE PENCIL SHARPENER,Otros
45,16218,CARTOON  PENCIL SHARPENERS,Otros
46,16219,HOUSE SHAPE PENCIL SHARPENER,Otros
47,16225,RATTLE SNAKE EGGS,Otros
48,16235,RECYCLED PENCIL WITH RABBIT ERASER,Otros
49,16236,KITTY PENCIL ERASERS,Otros
