Sales_Line_ID,Invoice_ID,Product_Key,Customer_Key,Date_Key,Quantity,UnitPrice,Revenue
1,555200,2367,3144,20110601,24,0.85,20.4
2,554974,291,1082,20110527,4,6.95,27.8
3,550972,264,1082,20110421,4,0.65,2.6
4,576652,1505,3072,20111116,3,1.95,5.85
5,546157,927,751,20110310,2,9.95,19.9
6,576200,2451,2059,20111114,2,2.95,5.9
7,577076,1317,1294,20111117,12,0.39,4.68
8,568909,1300,2843,20110929,12,1.25,15.0
9,578072,277,3424,20111122,1,6.75,6.75
10,560491,1943,53,20110719,2,1.65,3.3
11,545721,2453,1716,20110307,1,7.9,7.9
12,573399,276,1028,20111030,18,0.79,14.22
13,551954,1493,1393,20110505,1,8.5,8.5
14,563745,875,1803,20110819,12,0.79,9.48
15,546237,2525,2710,20110310,6,2.55,15.299999999999999
16,548005,503,1148,20110329,25,0.42,10.5
17,539000,1325,498,20101215,4,9.95,39.8
18,577820,1828,689,20111122,18,3.75,67.5
19,555091,759,296,20110531,1,2.95,2.95
20,556106,1368,1101,20110608,2,2.95,5.9
21,537159,1366,1400,20101205,1,2.95,2.95
22,536532,106,68,20101201,2,7.95,15.9
23,572681,1890,758,20111025,25,0.42,10.5
24,548309,1291,2731,20110330,1,0.85,0.85
25,559133,782,3484,20110706,2,0.65,1.3
26,566922,2055,2432,20110915,12,2.08,24.96
27,545227,262,63,20110301,24,0.85,20.4
28,569026,1861,2395,20110930,10,2.08,20.8
29,538163,1180,3472,20101209,2,6.75,13.5
30,572719,1700,980,20111025,12,1.65,19.799999999999997
31,552828,811,852,20110511,25,0.42,10.5
32,575922,1883,2134,20111111,24,0.83,19.919999999999998
33,560267,2368,986,20110717,4,3.25,13.0
34,545701,2339,3017,20110306,10,6.75,67.5
35,567656,2348,1126,20110921,26,0.83,21.58
36,575063,2251,2802,20111108,3,1.69,5.07
37,556917,1358,53,20110615,128,1.65,211.2
38,538449,2464,3004,20101212,2,2.1,4.2
39,536531,1424,2002,20101201,9,3.75,33.75
40,562377,1824,1407,20110804,6,1.65,9.899999999999999
41,568144,756,1066,20110925,10,1.65,16.5
42,554016,744,588,20110520,6,0.42,2.52
43,550512,1232,3607,20110418,2,0.85,1.7
44,572669,1131,2668,20111025,1,1.45,1.45
45,553504,2330,626,20110517,3,5.45,16.35
46,565117,2644,495,20110901,40,1.69,67.6
47,566422,2452,483,20110912,4,6.95,27.8
48,536593,1092,2852,20101201,2,7.95,15.9
49,578041,2475,3154,20111122,3,4.25,12.75
50,553525,438,2499,20110517,24,0.85,20.4
51,548728,1093,562,20110404,8,1.95,15.6
52,551660,1807,1875,20110503,12,0.83,9.959999999999999
53,555383,631,126,20110602,5,1.65,8.25
54,578998,672,1973,20111127,1,0.39,0.39
55,557233,1266,1925,20110617,3,1.65,4.949999999999999
56,558232,750,3472,20110627,2,1.25,2.5
57,543021,1078,1964,20110202,6,2.55,15.299999999999999
58,575070,2062,3472,20111108,2,12.5,25.0
59,544322,2417,1197,20110217,24,0.85,20.4
60,570019,2123,3472,20111007,1,1.25,1.25
61,553900,1567,7,20110519,4,9.95,39.8
62,579619,316,3719,20111130,12,2.08,24.96
63,559200,2511,616,20110707,1,2.1,2.1
64,540464,2607,1256,20110107,8,3.81,30.48
65,548336,10,493,20110330,600,0.65,390.0
66,575051,559,2304,20111108,2,9.95,19.9
67,568095,2939,1637,20110923,6,2.95,17.700000000000003
68,544646,2360,2996,20110222,4,5.45,21.8
69,542112,1138,543,20110125,2,12.75,25.5
70,566203,2672,2557,20110909,12,1.25,15.0
71,578290,1369,842,20111123,12,1.25,15.0
72,547202,1354,3472,20110321,1,1.65,1.65
73,540114,2476,2008,20110105,8,4.25,34.0
74,573909,1589,3458,20111101,1,4.95,4.95
75,576611,1747,3168,20111115,10,2.08,20.8
76,538658,2510,3552,20101213,2,5.95,11.9
77,541181,1212,371,20110114,16,4.95,79.2
78,577498,1447,2278,20111120,1,3.75,3.75
